epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.2733,2.19336,5.07618,1.99918,0.41991,0.34615,0.31145,0.18421,1.7857,4.49913,1.89011,0.00015,0.00015,0.00015
2,79.4235,1.88466,3.12765,1.75015,0.274,0.35129,0.25932,0.13308,1.73036,3.88168,1.71699,0.000307344,0.000307344,0.000307344
3,96.2333,1.85442,2.5024,1.63176,0.26544,0.31648,0.24538,0.11158,1.91822,3.72604,2.04164,0.000459325,0.000459325,0.000459325
4,113.909,1.87116,2.29257,1.62908,0.71146,0.26591,0.25802,0.1166,1.99388,2.93768,1.94571,0.000605944,0.000605944,0.000605944
5,129.66,1.8355,2.09848,1.57858,0.49931,0.16818,0.17604,0.06476,2.73278,2.80382,2.33863,0.0007472,0.0007472,0.0007472
6,144.994,1.82266,1.95217,1.56149,0.25192,0.24059,0.18211,0.06708,2.17308,2.8337,1.95432,0.000883094,0.000883094,0.000883094
7,161.984,1.823,1.93097,1.59129,0.1823,0.25657,0.177,0.06618,2.38222,2.6104,2.04149,0.00101362,0.00101362,0.00101362
8,177.22,1.75027,1.88315,1.53796,0.15715,0.29299,0.1383,0.06612,2.56754,3.3322,2.53771,0.00110563,0.00110563,0.00110563
9,194.458,1.84041,1.82492,1.56791,0.24474,0.44527,0.29288,0.12608,2.29565,2.84035,2.30386,0.001085,0.001085,0.001085
10,210.981,1.69004,1.69438,1.50052,0.25375,0.39249,0.33258,0.12669,2.04829,2.6239,1.97191,0.00106437,0.00106437,0.00106437
11,227.733,1.75204,1.69735,1.56171,0.58599,0.51092,0.47748,0.23404,2.06457,3.25737,1.9727,0.00104375,0.00104375,0.00104375
12,243.036,1.74878,1.68934,1.55206,0.47455,0.41747,0.37913,0.17768,1.90425,4.15731,1.94541,0.00102312,0.00102312,0.00102312
13,258.837,1.71925,1.66115,1.50798,0.43858,0.36818,0.40495,0.1975,2.07329,2.43797,2.08067,0.0010025,0.0010025,0.0010025
14,277.068,1.63083,1.54073,1.44395,0.76592,0.40833,0.52684,0.30356,1.74854,2.0546,1.87386,0.000981875,0.000981875,0.000981875
15,292.441,1.69561,1.61751,1.50605,0.51604,0.48823,0.53042,0.26521,1.84896,2.09226,1.94184,0.00096125,0.00096125,0.00096125
16,306.522,1.668,1.59789,1.48983,0.3632,0.73951,0.5552,0.23055,2.11655,2.20468,2.16882,0.000940625,0.000940625,0.000940625
17,323.028,1.65434,1.57766,1.47157,0.90333,0.40745,0.59925,0.33075,1.67274,1.73994,1.71995,0.00092,0.00092,0.00092
18,342.54,1.63087,1.55326,1.48217,0.63256,0.59894,0.63793,0.29738,1.89372,1.67172,1.78136,0.000899375,0.000899375,0.000899375
19,358.721,1.59405,1.39874,1.42531,0.6873,0.55047,0.6721,0.36805,1.70523,1.41351,1.66226,0.00087875,0.00087875,0.00087875
20,375.302,1.53808,1.43475,1.395,0.54971,0.74741,0.74531,0.36176,1.63234,1.4095,1.54811,0.000858125,0.000858125,0.000858125
